EIN,NAME,CITY,CODE,EXCLUSION_BASIS,REASON
462552575,CHARTER FOR CHARITY INC,DALLAS,D,"In kind rather than cash","Distributes goods or services, not grant dollars: in kind flight hours"
472676714,CROSSROADS COMMUNITY SERVICES INC,DALLAS,D,"In kind rather than cash","Distributes goods or services, not grant dollars: noncash food distributor"
742762542,FEEDING TEXAS,AUSTIN,B;D,"Closed certified or membership network; In kind rather than cash","Recipients are a fixed set an outsider cannot join AND distributes goods or services, not grant dollars: commodities to member banks"
241322225,FP ASSISTANCE INC,FORNEY,B;D,"Closed certified or membership network; In kind rather than cash","Recipients are a fixed set an outsider cannot join AND distributes goods or services, not grant dollars: USDA food pass through"
113720173,GEO-SON CHILD CARE SERVICES INC,MCALLEN,B;D,"Closed certified or membership network; In kind rather than cash","Recipients are a fixed set an outsider cannot join AND distributes goods or services, not grant dollars: USDA food pass through"
800660756,HYPE FOUNDATION INC,KATY,B;D,"Closed certified or membership network; In kind rather than cash","Recipients are a fixed set an outsider cannot join AND distributes goods or services, not grant dollars: USDA food pass through"
208734514,NAR INCORPORATED,EDINBURG,B;D,"Closed certified or membership network; In kind rather than cash","Recipients are a fixed set an outsider cannot join AND distributes goods or services, not grant dollars: USDA food pass through"
455264332,TRUSTED WORLD FOUNDATION INC,GARLAND,D,"In kind rather than cash","Distributes goods or services, not grant dollars: in kind goods distributor"
752581804,CHILDRENS ADVOCACY CENTERS OF TEXAS INC,AUSTIN,B,"Closed certified or membership network","Recipients are a fixed set an outsider cannot join: certified members only"
742681638,COASTAL BEND REGIONAL ADVISORY COUNCIL ON TRAUMA SERVICE AREA U,CORP CHRISTI,B,"Closed certified or membership network","Recipients are a fixed set an outsider cannot join: certified trauma members only"
742354575,TEXAS ACCESS TO JUSTICE FOUNDATION,AUSTIN,B,"Closed certified or membership network","Recipients are a fixed set an outsider cannot join: legal aid providers only"
742035880,TEXAS ASSOCIATION OF COMMUNITY ACTION AGENCIES INC,AUSTIN,B,"Closed certified or membership network","Recipients are a fixed set an outsider cannot join: member agencies only"
752252358,TEXAS CASA INC,AUSTIN,B,"Closed certified or membership network","Recipients are a fixed set an outsider cannot join: certified members only"
746074210,CHRISTUS FOUNDATION FOR HEALTHCARE,HOUSTON,C,"Operator or conduit","Runs its own programs, or passes money through without choice: operates own clinics"
452727397,CIRCUIT EVENTS LOCAL ORGANIZING COMMITTEE,DEL VALLE,C,"Operator or conduit","Runs its own programs, or passes money through without choice: event artifact"
871569770,DONATESTOCK CHARITABLE INC,HOUSTON,C,"Operator or conduit","Runs its own programs, or passes money through without choice: stock donation conduit"
814633428,GIRTYS PLACE ANIMAL RESCUE AND SANCTUARY,FARMERSVILLE,C,"Operator or conduit","Runs its own programs, or passes money through without choice: operating animal sanctuary"
311815830,GRACEWOOD INC,ROUND ROCK,C,"Operator or conduit","Runs its own programs, or passes money through without choice: direct service operator"
